Scientific Name,Common Name,Habitat,Spore Print,Edibility
Cortinarius subg. Telamonia,telamonia cort,on the ground,orange,inedible
Cortinarius subg. Telamonia,telamonia cort,on the ground,orange,inedible
Russula sp.,brittlestem,on the ground,white to yellow,inedible
Russula sp.,brittlestem,on the ground,white to yellow,inedible
Armillaria mellea,honey mushroom,on buried wood,white,edible
Russula cerolens,foetid Russula,on the ground under oak,white,inedible
Trichoglossum sp.,black earth tongue,on the ground,black,inedible
Russula californiensis,California Russula,on the ground,yellow,inedible

